name,number,title,full_name,term_quarter,term_year,grade_Ap,grade_A,grade_Am,grade_Bp,grade_B,grade_Bm,grade_Cp,grade_C,grade_Cm,grade_Dp,grade_D,grade_Dm,grade_F,grade_no_pass,grade_pass
ENGL 145,145,Medieval Literatures of Devotion and Dissent,Arvind Thomas,FA,2017,0,11,12,4,1,0,1,0,0,0,0,0,0,0,0
ENGL 179,179,"Topics in Literature, circa 1850 to Present",Thomas Winningham,FA,2017,1,3,5,10,2,0,0,0,0,0,0,0,0,0,0
ENGL 150A,150A,Early Medieval Literature,Stephen Dickey,FA,2017,0,11,12,5,3,2,2,1,0,0,0,0,0,0,0
ENGL 174A,174A,American Poetry to 1900,Laura Lorhan,FA,2017,4,5,6,4,6,1,2,1,1,0,0,0,1,0,0
ENGL 130,130,Introduction to Postcolonial Literatures,Ali Behdad,FA,2017,0,8,8,18,2,1,0,0,0,1,0,0,0,0,0
ENGL 136,136,Creative Writing: Poetry,Frederick D'Aguiar,FA,2017,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0
ENGL M105A,M105A,Early Chicana/Chicano Literature,Marissa Lopez,FA,2017,0,17,16,4,6,1,1,1,0,0,1,0,2,0,0
ENGL 183C,183C,Topics in 20th- and 21st-Century American Literature,Jeffrey Decker,FA,2017,0,3,3,2,2,1,1,0,0,0,0,0,0,0,0
ENGL M138,M138,Topics in Creative Writing: Writing Television Drama Pilot,Holly Moyer,FA,2017,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ENGL 117,117,Literature of California and American West,Blake Allmendinger,FA,2017,1,10,7,7,4,1,2,2,0,0,0,0,1,0,0
ENGL 120,120,Literature and Society,Mitchum Huehls,FA,2017,0,17,3,5,2,1,1,2,0,0,0,1,1,0,0
ENGL 137,137,Advanced Computer Techniques for Students of English,Justin Torres,FA,2017,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0
ENGL 143,143,Milton,Christine Chism,FA,2017,1,11,7,8,4,1,1,0,0,0,0,0,0,0,0
ENGL 181A,181A,Specialized Studies in Medieval Literature,Joseph Dimuro,FA,2017,0,3,4,3,1,0,0,0,0,0,0,0,0,0,0
ENGL 176,176,American Drama,Barbara Fuchs,FA,2017,0,10,2,5,4,3,1,0,0,0,0,0,0,0,0
ENGL 184,184,Capstone Seminar: English,Megan Stephan,FA,2017,0,0,5,4,2,1,0,0,0,0,0,0,0,0,0
ENGL 90,90,Shakespeare,Stephen Dickey,FA,2017,6,29,21,11,5,2,0,1,0,0,0,0,2,1,0
ENGL 118A,118A,Interdisciplinary Studies in Literature,Michael North,FA,2017,0,5,6,5,6,10,1,1,1,0,0,0,0,0,0
ENGL 85,85,American Novel,Christopher Mott,FA,2017,6,21,18,5,5,2,2,0,1,0,0,0,0,0,0
ENGL 116B,116B,Introduction to Electronic Literature,Daniel Snelson,FA,2017,4,26,2,1,0,0,0,0,0,0,0,0,1,0,0
ENGL 128,128,"Postcolonial and Transnational Theory: Empire, Diaspora, and Multi-Ethnic Storytelling",Briana Brickley,FA,2017,1,10,4,5,1,0,0,0,0,0,0,0,2,0,0
ENGL 108,108,Interracial Encounters,King-kok Cheung,FA,2017,2,3,3,6,3,8,2,2,0,0,0,0,0,0,0
ENGL 118B,118B,Literature and Other Arts,Deborah Donig,FA,2017,0,7,11,5,5,1,0,1,0,0,0,0,0,0,0
ENGL 10A,10A,English Literature to 1660,Claire Mceachern,FA,2017,1,14,22,13,33,32,6,16,5,5,3,0,4,1,1
ENGL 115D,115D,Detective Fiction,Blake Allmendinger,FA,2017,0,7,9,7,6,4,2,0,0,1,0,0,0,0,1
ENGL 184,184,Capstone Seminar: English,Joseph Bristow,FA,2017,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0
ENGL 170A,170A,American Literature to 1775,Joseph Dimuro,FA,2017,0,2,4,7,7,5,2,3,1,0,0,0,0,0,0
ENGL 122,122,Introduction to Structure of Present-Day English,Louise Hornby,FA,2017,0,6,3,8,8,3,2,0,1,0,0,0,2,0,0
ENGL 164C,164C,19th-Century Novel,Lindsay Wilhelm,FA,2017,0,3,6,8,7,2,0,0,0,0,0,0,1,0,0
ENGL 181B,181B,Topics in Interdisciplinary Studies: Boredom and Anxiety in Literature and Film,Michael Rothberg,FA,2017,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0
ENGL 127,127,"Performance, Media, and Cultural Theory: Introduction to Performance Studies",Uri McMillan,FA,2017,0,4,6,4,3,1,0,0,0,0,0,0,0,0,0
ENGL M107A,M107A,American Women Writers,Karen Rowe,FA,2017,1,3,3,2,9,2,3,0,0,0,0,0,0,0,1
ENGL 129,129,"Topics in Genre Studies, Interdisciplinary Studies, and Critical Theory",Mark Seltzer,FA,2017,1,6,9,5,4,3,1,0,0,0,0,0,0,0,0
ENGL M104C,M104C,African American Literature of 1960s and 1970s,Jeffrey Solomon,FA,2017,9,1,3,3,2,1,0,0,0,0,1,0,0,0,0
ENGL 137,137,Advanced Computer Techniques for Students of English,Joshua Corin,FA,2017,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0
ENGL 184,184,Capstone Seminar: English,Jeffrey Decker,FA,2017,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0
ENGL 173C,173C,Contemporary American Poetry,Harryette Mullen,FA,2017,0,11,12,2,2,0,0,0,0,0,0,0,0,0,1
ENGL 162A,162A,Earlier Romantic Literature,Juan Sanchez,FA,2017,1,3,5,4,4,5,0,1,0,0,0,0,1,0,1
ENGL 4WS,4WS,Critical Reading and Writing (Service Learning),Christine Chism,FA,2017,0,11,4,0,4,2,3,0,0,0,0,0,0,0,0
ENGL M50,M50,Introduction to Visual Culture,Mashinka Firunts,FA,2017,2,9,1,0,1,0,0,0,0,0,0,0,0,0,1
ENGL 10B,10B,"Literatures in English, 1700 to 1850",Sarah Kareem,FA,2017,0,19,58,27,20,5,5,3,3,0,0,0,2,0,0
ENGL 109,109,Interdisciplinary Approaches to Literature,Jeffrey Solomon,FA,2017,8,7,1,2,2,1,1,0,0,0,0,0,0,0,0
ENGL 118C,118C,Studies in Visual Culture,Justin Torres,FA,2017,3,20,11,1,1,0,0,0,0,0,0,0,0,0,0
ENGL 174C,174C,Contemporary American Fiction: Tales of New Media and Cyberculture,Mitchum Huehls,FA,2017,0,18,2,6,6,0,1,0,0,0,0,0,0,0,0
ENGL 141,141,Early Medieval Literature,Eric Jager,FA,2017,0,14,10,4,0,1,0,0,0,0,0,0,0,0,0
ENGL 140B,140B,"Chaucer: ""Troilus and Criseyde"" and Selected Minor Works",Matthew Fisher,FA,2017,0,2,3,4,3,6,5,3,2,1,0,0,0,0,0
ENGL M101A,M101A,Lesbian and Gay Literature before Stonewall,Christine Gottlieb,FA,2017,3,12,2,0,0,0,0,0,0,0,0,0,0,0,0
ENGL 195CE,195CE,Community and Corporate Internships in English,Joseph Dimuro,FA,2017,0,3,6,2,1,0,0,0,0,0,0,0,0,0,2
ENGL 10B,10B,"Literatures in English, 1700 to 1850",Michael Cohen,FA,2017,0,19,58,27,20,5,5,3,3,0,0,0,2,0,0
ENGL 179R,179R,"Topics in Literature, circa 1850 to Present: Research Component: New York City",Colleen Jaurretche,FA,2017,0,5,10,4,0,0,0,0,0,0,0,0,0,0,0
ENGL 4W,4W,Critical Reading and Writing,Christine Chism,FA,2017,15,59,79,51,28,15,4,2,2,0,1,0,1,0,0
ENGL 161C,161C,Novel in English to 1850,Samir Soni,FA,2017,0,10,5,5,3,3,1,0,0,0,0,0,1,0,0
ENGR 96C,96C,Introduction to Engineering Design: Internet of Things,William Kaiser,FA,2017,10,65,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGR 87,87,Introduction to Engineering Disciplines,S Hormozi,FA,2017,1,36,25,6,2,0,0,0,0,0,0,0,0,0,0
ENGR 112,112,"Laboratory to Market, Entrepreneurship for Engineers",Schaffer Grimm,FA,2017,3,11,13,11,13,4,5,2,1,0,1,0,0,0,0
ENGR 183EW,183EW,Engineering and Society,Donald Browne,FA,2017,10,116,3,6,1,1,0,0,0,0,0,0,1,0,0
ENGR 185EW,185EW,Art of Engineering Endeavors,Donald Browne,FA,2017,7,104,23,18,9,0,1,0,0,0,0,0,0,0,0
ENGR 185EW,185EW,Art of Engineering Endeavors,Jon Fong,FA,2017,7,104,23,18,9,0,1,0,0,0,0,0,0,0,0
ENGR 87,87,Introduction to Engineering Disciplines,M.R. Phillips,FA,2017,1,36,25,6,2,0,0,0,0,0,0,0,0,0,0
ENGR 112,112,"Laboratory to Market, Entrepreneurship for Engineers",Nathan Wilson,FA,2017,3,11,13,11,13,4,5,2,1,0,1,0,0,0,0
ENGR 87,87,Introduction to Engineering Disciplines,Enrique Ainsworth,FA,2017,1,36,25,6,2,0,0,0,0,0,0,0,0,0,0
ENGR 113,113,Product Strategy,Nathan Wilson,FA,2017,1,7,5,4,5,4,3,1,0,0,0,0,0,0,0
ENGR 87,87,Introduction to Engineering Disciplines,Stephen Jacobsen,FA,2017,1,36,25,6,2,0,0,0,0,0,0,0,0,0,0
ENGR 188,188,Special Courses in Engineering,Hamid Saghizadeh,FA,2017,5,7,6,2,0,0,0,0,0,0,0,0,0,0,0
ENGR 183EW,183EW,Engineering and Society,Gershon Weltman,FA,2017,10,116,3,6,1,1,0,0,0,0,0,0,1,0,0
ENGR 110,110,Introduction to Technology Management and Economics for Engineers,Meliha Bulu-Taciroglu,FA,2017,15,26,29,25,14,10,4,2,2,0,0,0,0,0,0
ENGR 96A,96A,Introduction to Engineering Design,Peter Reiher,FA,2017,15,28,11,3,0,0,0,1,0,0,0,0,0,0,0
ENV HLT 100,100,Introduction to Environmental Health,Michael Collins,FA,2017,0,3,4,7,7,0,0,0,0,0,0,0,0,0,0
ENV HLT 100,100,Introduction to Environmental Health,Hilary Godwin,FA,2017,25,56,9,0,3,1,0,0,0,0,0,0,0,0,0
ENV HLT 101,101,Fundamentals of Chemistry in Environmental Health,Michael Collins,FA,2017,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENVIRON 185A,185A,Education for Sustainable Living Program Speaker Series,Carl Maida,FA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143
ENVIRON M10,M10,Introduction to Environmental Science,Thomas Smith,FA,2017,6,24,26,20,9,5,1,2,1,1,1,0,0,0,0
ENVIRON M114,M114,Soil and Water Conservation,Daniela Cusack,FA,2017,1,3,1,2,1,0,0,2,0,0,0,0,0,0,0
ENVIRON 180A,180A,Practicum: Environmental Science,Noah Garrison,FA,2017,2,11,18,17,10,1,2,1,0,0,1,0,1,0,0
ENVIRON M130,M130,Environmental Change,Glen Macdonald,FA,2017,4,9,5,2,4,2,1,2,1,0,0,0,0,0,0
ENVIRON M10,M10,Introduction to Environmental Science,Noah Garrison,FA,2017,6,24,26,20,9,5,1,2,1,1,1,0,0,0,0
ENVIRON 163,163,Business and Natural Environment,Magali Delmas,FA,2017,4,28,12,5,0,0,0,0,0,0,0,0,0,0,0
ENVIRON 188B,188B,Special Courses in Environment,Rebecca Shipe,FA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
ENVIRON 166,166,Leadership in Water Management,Mark Gold,FA,2017,2,9,20,10,9,5,1,0,0,0,0,0,0,0,0
ENVIRON 159,159,Life-Cycle Analysis of Sustainability Assessment,Deepak Rajagopal,FA,2017,3,3,7,10,8,4,1,1,1,0,0,0,0,0,2
EPS SCI 71,71,Introduction to Computing for Geoscientists,Jonathan Aurnou,FA,2017,5,6,3,4,1,1,2,2,1,2,1,0,0,0,0
EPS SCI 1,1,Introduction to Earth Science,Rosario Esposito,FA,2017,13,16,11,11,5,5,1,0,1,2,0,2,1,0,2
EPS SCI 8,8,Earthquakes,Lingsen Meng,FA,2017,9,9,11,17,4,4,6,0,0,1,0,0,0,3,3
EPS SCI 3,3,Astrobiology,Jean-Luc Margot,FA,2017,85,65,65,66,47,22,19,11,3,7,2,5,6,1,21
EPS SCI 9,9,Solar System and Planets,Edward Young,FA,2017,7,37,39,14,11,5,8,2,0,2,1,0,0,1,6
EPS SCI CM173,CM173,Earth Process and Evolutionary History,David Jacobs,FA,2017,3,0,1,4,1,0,0,0,1,0,0,0,0,0,0
EPS SCI 103B,103B,Sedimentary Petrology,Daniel Eastmond,FA,2017,0,4,2,2,3,3,0,2,0,0,0,0,0,0,0
EPS SCI 15,15,Blue Planet: Introduction to Oceanography,Edwin Schauble,FA,2017,12,28,33,17,21,10,8,10,12,1,3,3,2,3,9
EPS SCI 155,155,Planetary Physics,David Paige,FA,2017,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0
EPS SCI 150,150,Remote Sensing for Earth Sciences,Gilles Peltzer,FA,2017,2,6,3,2,1,0,3,0,1,0,0,0,0,0,0
EPS SCI 3,3,Astrobiology,Tina Treude,FA,2017,85,65,65,66,47,22,19,11,3,7,2,5,6,1,21
EPS SCI 51,51,Mineralogy: Earth and Planetary Materials,Abby Kavner,FA,2017,1,5,4,5,4,3,0,1,1,0,1,0,0,0,0
EPS SCI 61,61,Geologic Maps,Ailee Moon,FA,2017,1,5,4,4,4,4,2,2,1,0,0,0,0,0,0
ETHNMUS 20A,20A,Musical Cultures of World: Europe and Americas,Nolan Warden,FA,2017,0,6,2,2,2,1,1,0,0,0,0,0,0,0,0
ETHNMUS 168A,168A,Advanced World Music Specializations: Music of China -- Ensemble,Chi Li,FA,2017,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0
ETHNMUS 161P,161P,Advanced World Music Performance Organizations: Music of African Americans,James Roberson,FA,2017,2,48,2,0,0,0,0,0,0,0,0,0,0,0,0
ETHNMUS 161E,161E,Advanced World Music Performance Organizations: Music and Dance of Ghana,Francis Awe,FA,2017,3,6,5,2,0,0,0,0,0,0,0,0,0,0,0
ETHNMUS 50A,50A,Jazz in American Culture: Late 19th Century through 1940s,Charley Harrison,FA,2017,46,79,30,18,14,4,1,1,0,0,0,1,0,1,5
ETHNMUS 91T,91T,World Music Performance Organizations: Jazz Orchestra,Bobby Rodriguez,FA,2017,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHNMUS 168N,168N,Advanced World Music Specializations: Music of Balkans -- Choir,Tzvetanka Varimezova,FA,2017,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHNMUS C122A,C122A,Jazz Styles and Analysis: Early Jazz to Swing Era,James Newton,FA,2017,2,7,2,3,2,0,0,0,0,0,0,0,0,0,0
ETHNMUS 161L,161L,Advanced World Music Performance Organizations: Music of Persia,Mehrdad Arabifard,FA,2017,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHNMUS 161L,161L,Advanced World Music Performance Organizations: Music of Persia,Amir Pourjavady,FA,2017,10,8,5,1,0,0,0,0,0,0,0,0,0,0,0
ETHNMUS 161M,161M,Advanced World Music Performance Organizations: Music of Thailand,Supeena Adler,FA,2017,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHNMUS 161K,161K,Advanced World Music Performance Organizations: Music of Mexico,Jesus Guzman,FA,2017,11,0,2,0,0,1,0,0,0,0,0,0,0,0,0
ETHNMUS 127A,127A,Jazz Keyboard Harmony I,Tamir Hendelman,FA,2017,2,6,2,2,1,0,0,0,0,0,1,0,2,0,0
ETHNMUS 183,183,Study of Ethnomusicology,Helen Rees,FA,2017,2,10,2,2,2,1,0,1,0,0,0,0,0,0,0
ETHNMUS 168F,168F,Advanced World Music Specializations: Music of India -- Ensemble,Rahul Neuman,FA,2017,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0
ETHNMUS 91K,91K,World Music Performance Organizations: Music of Mexico,Jesus Guzman,FA,2017,6,0,2,2,1,0,0,0,0,0,0,0,0,0,1
ETHNMUS 106A,106A,Traditional North American Indian Music,Tara Browner,FA,2017,4,13,9,3,2,0,0,0,0,0,1,0,0,0,1
ETHNMUS 19,19,Fiat Lux Freshman Seminars: Music Theory through Recorder,Roger Savage,FA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
ETHNMUS 25,25,Global Pop,Ryan Koons,FA,2017,31,93,51,28,13,5,1,2,0,1,1,1,8,0,14
ETHNMUS 91P,91P,World Music Performance Organizations: Music of African Americans,James Roberson,FA,2017,7,5,4,0,0,0,0,0,0,0,0,0,1,0,0
ETHNMUS 161B,161B,Advanced World Music Performance Organizations: Music of Bali,I. Wenten,FA,2017,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHNMUS 108B,108B,Music of Latin America: Latin South America,D Pacheco,FA,2017,2,3,4,1,5,2,0,3,0,0,0,0,1,0,1
ETHNMUS 68A,68A,World Music Specializations: Music of China -- Ensemble,Chi Li,FA,2017,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0
ETHNMUS 91Z,91Z,World Music Performance Organizations: Open Ensemble: Afro-Cuban Ensemble,Steven Loza,FA,2017,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1
FILIPNO 1,1,Introductory Filipino,Nenita Domingo,FA,2017,16,39,7,6,1,0,0,0,0,0,0,0,0,0,0
FILM TV 4,4,Introduction to Art and Technique of Filmmaking,Kathleen Mchugh,FA,2017,0,91,65,33,23,5,1,2,1,0,0,0,2,0,7
FILM TV 122E,122E,Digital Cinematography,D Nuse,FA,2017,40,17,0,1,2,0,0,1,0,0,0,0,0,0,2
FILM TV 108,108,History of Documentary Film,Vincent Brook,FA,2017,5,31,31,13,12,4,0,1,0,0,0,0,3,0,0
FILM TV 6A,6A,History of American Motion Picture,Jonathan Kuntz,FA,2017,2,69,78,47,38,11,6,3,2,0,1,0,0,0,0
FILM TV 194,194,"Internship Seminars: Film, Television, and Digital Media",Hans-Martin Liebing,FA,2017,21,3,1,0,0,0,0,0,0,0,0,0,0,0,0
FILM TV 122D,122D,"Film Editing: Overview of History, Technique, and Practice",Kathleen Smalley,FA,2017,45,41,5,4,5,2,0,1,1,0,0,0,0,0,5
FILM TV 154,154,Film Editing,Eric Marin,FA,2017,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0
FILM TV 52,52,Cinematography,William McDonald,FA,2017,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
FILM TV 184B,184B,Overview of Contemporary Television Industry,Paul Nagle,FA,2017,0,67,12,0,0,0,0,0,0,0,0,0,0,0,0
FILM TV M50,M50,Introduction to Visual Culture,Mashinka Firunts,FA,2017,0,7,2,3,2,0,0,0,0,0,0,0,0,0,0
FILM TV 114,114,Film Genres,Lindsay Giggey,FA,2017,2,19,28,25,18,2,5,4,2,0,0,0,3,1,7
FILM TV 33,33,Introductory Screenwriting,John Sweet,FA,2017,30,74,15,1,0,0,0,0,1,0,0,0,0,0,1
FILM TV C132,C132,Screenwriting Fundamentals,L Voorhees,FA,2017,0,106,11,1,4,1,0,0,0,0,0,0,1,0,0
FILM TV 135A,135A,Advanced Screenwriting Workshop,Kris Young,FA,2017,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0
FILM TV 163,163,Directing the Camera,Mark Rosman,FA,2017,0,6,11,1,0,0,0,0,0,0,0,0,0,0,0
FILM TV 183B,183B,Producing II: Entertainment Economics,Michael Puopolo,FA,2017,8,19,6,3,1,0,1,0,0,0,0,0,0,0,0
FRNCH 117,117,Studies in 17th-Century French Culture and Literature,Sara Melzer,FA,2017,1,6,2,1,2,0,0,0,1,0,0,0,0,0,0
FRNCH 12,12,Introduction to Study of French and Francophone Literature,Stephen Werner,FA,2017,0,3,2,7,5,0,0,0,0,0,0,0,0,0,0
FRNCH 4,4,Intermediate French,Laurence Denie Higney,FA,2017,0,6,4,2,1,0,1,0,0,0,0,0,0,0,3
FRNCH 133,133,French and Francophone Short Story,Laure Murat,FA,2017,3,8,6,5,1,0,0,0,0,0,0,0,0,1,1
FRNCH 6,6,Intermediate French,Kimberly Jansma,FA,2017,1,11,2,4,3,1,0,0,0,0,0,0,0,0,0
FRNCH 4,4,Intermediate French,Cecile Bonneau,FA,2017,4,3,5,1,3,2,0,0,0,0,0,0,1,0,3
FRNCH 100,100,Written Expression: Techniques of Description,Laurence Denie Higney,FA,2017,1,13,5,4,1,0,0,0,0,0,0,0,0,0,0
FRNCH 2,2,Elementary French,Kimberly Jansma,FA,2017,2,10,7,4,6,2,2,2,1,0,0,0,1,0,6
FRNCH 5,5,Intermediate French,Kimberly Jansma,FA,2017,0,7,6,0,3,1,0,0,0,0,0,0,0,0,2
FRNCH 16,16,Society And Self in Early Modern France,Malina Stefanovska,FA,2017,0,7,9,3,4,2,0,0,0,0,0,0,0,0,3
FRNCH 41,41,French Cinema and Culture,Lia Brozgal,FA,2017,0,35,29,25,13,5,4,0,1,0,0,1,0,0,2
FRNCH 14,14,"Introduction to French Culture and Civilization, in English",Ariane Helou,FA,2017,1,19,8,5,3,0,1,0,0,0,0,0,0,0,1
FRNCH 164,164,French and Francophone Novel in Translation,Lia Brozgal,FA,2017,4,23,5,4,3,0,0,0,0,0,0,0,0,0,0
FRNCH 3,3,Elementary French,Kimberly Jansma,FA,2017,4,17,10,7,5,1,5,1,0,0,0,0,0,1,7
FRNCH 6,6,Intermediate French,Laurence Denie Higney,FA,2017,1,11,2,4,3,1,0,0,0,0,0,0,0,0,0
FRNCH 1,1,Elementary French,Kimberly Jansma,FA,2017,7,48,9,23,10,5,4,5,1,0,0,0,1,0,8
FRNCH 5,5,Intermediate French,Laurence Denie Higney,FA,2017,1,15,12,4,4,1,0,0,0,0,0,0,0,0,2
FRNCH 4,4,Intermediate French,Kimberly Jansma,FA,2017,0,6,4,2,1,0,1,0,0,0,0,0,0,0,3
FRNCH 132,132,French and Francophone Poetry,Alain Mabanckou,FA,2017,13,15,2,5,0,0,0,0,0,0,0,0,0,0,1
GENDER 103,103,Knowledge,Jesus Guzman,FA,2017,8,10,37,8,1,0,0,1,0,0,1,0,2,0,1
GENDER 185,185,Special Topics in Women's Studies,Claudia Pena,FA,2017,9,27,12,2,1,1,0,0,0,0,0,0,0,0,0
GENDER M147D,M147D,"History of Women in the U.S., 1860 to 1980",Ellen Dubois,FA,2017,2,5,8,7,6,5,0,1,1,0,0,0,2,0,0
GENDER M114,M114,"Introduction to Lesbian, Gay, Bisexual, and Transgender Studies",James Schultz,FA,2017,1,11,6,5,2,1,0,0,0,0,0,0,2,0,0
GENDER 187,187,Senior Research Seminar: Women's Studies,Juliet Williams,FA,2017,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0
GENDER 104,104,Bodies,Juliann Anesi,FA,2017,3,31,14,3,2,2,0,0,0,0,0,0,0,0,0
GENDER 185,185,Special Topics in Women's Studies,Jesus Guzman,FA,2017,2,5,17,6,1,0,1,2,0,0,0,0,0,0,1
GENDER 185,185,Special Topics in Women's Studies,K Norberg,FA,2017,4,7,9,1,3,4,0,1,1,0,0,0,1,0,0
GENDER M186A,M186A,"Global Feminism, 1850 to the Present",King-kok Cheung,FA,2017,0,0,1,1,4,1,2,3,1,0,0,0,1,0,0
GENDER 10,10,Introduction to Women's Studies: Feminist Perspectives on Women and Society,Azzarina Basarudin,FA,2017,7,26,40,35,37,10,10,6,2,1,0,2,2,0,14
GENDER 185,185,Special Topics in Women's Studies,Kimberly Clair,FA,2017,28,14,2,0,0,0,0,0,0,0,0,0,0,1,2
GEOG 3,3,Cultural Geography,Stephen Boatright,FA,2017,26,32,28,12,16,7,5,10,1,3,2,0,0,1,2
GEOG 169,169,Satellite Remote Sensing and Imaging Geographic Information Systems,Geoffrey Fricker,FA,2017,4,12,16,7,4,4,2,3,0,0,0,0,0,0,0
GEOG 7,7,Introduction to Geographic Information Systems,Michael Shin,FA,2017,0,20,16,24,17,5,3,10,0,1,2,0,5,5,27
GEOG 1,1,Earth's Physical Environment,Bridget Gonzalez,FA,2017,5,22,10,8,16,11,6,8,1,1,3,1,0,0,5
GEOG 132,132,"Food, Environment, and Agriculture",Judith Carney,FA,2017,0,21,3,11,10,0,2,3,1,0,0,0,0,0,0
GEOG M107,M107,Soil and Water Conservation,Daniela Cusack,FA,2017,1,6,5,3,10,5,2,8,0,0,3,0,0,0,1
GEOG M117,M117,Ecosystem Ecology,Daniela Cusack,FA,2017,1,4,1,2,3,5,4,5,2,2,1,1,1,0,0
GEOG 6,6,World Regions: Concepts and Contemporary Issues,Nicholas Burkhart,FA,2017,0,52,17,11,10,8,1,2,1,0,0,1,3,0,0
GEOG M131,M131,Environmental Change,Glen Macdonald,FA,2017,22,20,16,13,18,12,4,15,7,0,0,2,1,0,4
GEOG 142,142,Population Geography,Jamie Goodwin-White,FA,2017,20,25,10,8,27,2,8,12,4,3,2,2,0,1,4
GEOG 5,5,People and the Earth's Ecosystems,Bridget Gonzalez,FA,2017,3,51,52,40,55,22,11,12,5,2,1,0,0,0,12
GEOG 102,102,Tropical Climatology,Marilyn Raphael,FA,2017,0,13,13,21,9,9,7,12,0,0,4,0,2,0,3
GEOG 152,152,Cities of Europe,John Agnew,FA,2017,17,9,15,6,23,8,8,6,0,0,0,0,2,2,2
GEOG 173,173,Geographic Information Systems Programming and Development,Yongwei Sheng,FA,2017,3,4,4,2,2,4,1,1,0,0,0,0,0,0,0
GEOG 167,167,Cartography,Michael Shin,FA,2017,0,20,8,9,12,1,3,0,0,0,1,0,1,3,0
GEOG 151,151,Cities and Social Difference,Helga Leitner,FA,2017,2,15,20,29,21,21,8,3,2,0,0,0,3,3,2
GEOG 191,191,Variable Topics Research Seminars: Geography,Stephen Boatright,FA,2017,2,8,12,3,5,2,1,0,2,0,0,0,0,0,0
GERMAN 1G,1G,Elementary German for Graduate Students,Renata Fuchs,FA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GERMAN 56,56,Figures Who Changed World,David Kim,FA,2017,5,33,34,21,7,7,3,0,2,1,0,0,1,0,5
GERMAN 152,152,Studies in German Literature before 1750,Magdalena Tarnawska Senel,FA,2017,10,4,0,2,0,0,1,0,0,0,0,0,0,0,0
GERMAN 1,1,Elementary German,Magdalena Tarnawska Senel,FA,2017,19,19,15,6,6,3,1,1,1,0,1,0,1,2,3
GERMAN 110,110,Nietzsche and Critique of Western Culture,Yasemin Yildiz,FA,2017,0,7,9,0,4,0,0,0,0,0,0,0,0,0,0
GERMAN 3,3,Elementary German,Renata Fuchs,FA,2017,1,4,2,2,2,1,1,0,0,0,0,0,0,0,0
GERMAN 3,3,Elementary German,Magdalena Tarnawska Senel,FA,2017,2,1,2,0,1,0,0,0,0,0,0,0,0,0,4
GLBL ST 191,191,Variable Topics Research Seminars: Global Studies -- Senior Seminar,Shaina Potts,FA,2017,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0
GLBL ST 191,191,Variable Topics Research Seminars: Global Studies -- Senior Seminar,Laurie Hart,FA,2017,0,1,12,4,1,0,0,0,0,0,0,0,0,0,0
GLBL ST 194,194,Research Group Seminars: Global Studies,Michael Thies,FA,2017,1,28,8,2,1,1,0,0,0,0,0,0,0,0,0
GLBL ST 191,191,Variable Topics Research Seminars: Global Studies -- Senior Seminar,Benjamin Radd,FA,2017,4,4,8,3,1,0,0,0,0,0,0,0,0,0,0
GLBL ST 1,1,Introduction to Global Studies,John Agnew,FA,2017,16,17,39,23,62,38,23,24,15,6,0,1,5,2,21
GREEK 1,1,Elementary Greek,Richard Ellis,FA,2017,0,7,1,2,2,2,1,0,0,0,0,1,1,0,0
GRNTLGY M108,M108,"Biomedical, Social, and Policy Frontiers in Human Aging",Lene Levy-storms,FA,2017,1,8,7,6,1,0,0,1,0,0,0,0,0,0,0
HEBREW 110A,110A,"Introduction to Biblical Hebrew: Phonology, Morphology, and Structure of Biblical Hebrew",Jeremy Smoak,FA,2017,0,14,0,2,2,2,0,0,0,0,0,0,0,0,1
HEBREW 102A,102A,Intermediate Hebrew,Nancy Ezer,FA,2017,1,4,4,0,1,0,0,0,0,0,0,0,0,0,1
